WYPADEK_ID,PLEC,MIASTO,MIESIAC,PRZYCZYNA
1,Kobieta   ,Warszawa,11,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
2,Mezczyzna ,Bialystok,4,Jazda po niewlasciwej stronie drogi.
3,Mezczyzna ,Warszawa,6,Niedostosowanie predkosci do warunków na drodze.
4,Mezczyzna ,Bydgoszcz,10,Niedostosowanie predkosci do warunków na drodze.
5,Kobieta   ,Olsztyn,6,Nieprawidlowe wyprzedzanie.
6,Mezczyzna ,Kielce,7,Niedostosowanie predkosci do warunków na drodze.
7,Kobieta   ,Bialystok,1,Jazda po niewlasciwej stronie drogi.
8,Kobieta   ,Rzeszów,5,Jazda po niewlasciwej stronie drogi.
9,Mezczyzna ,Poznan,3,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
10,Kobieta   ,Gorzów Wielkopolski,5,Nieprawidlowe zachowanie sie wobec pieszego.
11,Mezczyzna ,Szczecin,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
12,Kobieta   ,Torun,7,Jazda po niewlasciwej stronie drogi.
13,Kobieta   ,Bialystok,11,Niedostosowanie predkosci do warunków na drodze.
14,Kobieta   ,Gdansk,10,Nieudzielenie pierwszenstwa przejazdu.
15,Kobieta   ,Opole,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
16,Kobieta   ,Bydgoszcz,9,Niedostosowanie predkosci do warunków na drodze.
17,Mezczyzna ,Wroclaw,5,Nieprawidlowe wyprzedzanie.
18,Kobieta   ,Bydgoszcz,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
19,Mezczyzna ,Bydgoszcz,2,Niedostosowanie predkosci do warunków na drodze.
20,Mezczyzna ,Gorzów Wielkopolski,1,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
21,Kobieta   ,Rzeszów,10,Nieprawidlowe zachowanie sie wobec pieszego.
22,Kobieta   ,Katowice,8,Niedostosowanie predkosci do warunków na drodze.
23,Kobieta   ,Wroclaw,11,Nieprawidlowe zachowanie sie wobec pieszego.
24,Mezczyzna ,Opole,7,Nieprawidlowe zachowanie sie wobec pieszego.
25,Kobieta   ,Bydgoszcz,2,Nieprawidlowe zachowanie sie wobec pieszego.
26,Mezczyzna ,Bydgoszcz,1,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
27,Kobieta   ,Lublin,3,Nieprawidlowe wyprzedzanie.
28,Kobieta   ,Gdansk,3,Nieprawidlowe zachowanie sie wobec pieszego.
29,Kobieta   ,Bydgoszcz,2,Nieprawidlowe wyprzedzanie.
30,Mezczyzna ,Bydgoszcz,4,Nieprawidlowe wyprzedzanie.
31,Mezczyzna ,Warszawa,8,Nieprawidlowe wyprzedzanie.
32,Mezczyzna ,Opole,5,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
33,Mezczyzna ,Gorzów Wielkopolski,6,Nieprawidlowe wyprzedzanie.
34,Kobieta   ,Katowice,2,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
35,Kobieta   ,Bialystok,7,Jazda po niewlasciwej stronie drogi.
36,Kobieta   ,Gorzów Wielkopolski,11,Nieprawidlowe wyprzedzanie.
37,Mezczyzna ,Lublin,2,Jazda po niewlasciwej stronie drogi.
38,Mezczyzna ,Poznan,8,Nieprawidlowe wyprzedzanie.
39,Mezczyzna ,Torun,9,Nieudzielenie pierwszenstwa przejazdu.
40,Kobieta   ,Lódz,3,Nieprawidlowe zachowanie sie wobec pieszego.
41,Mezczyzna ,Bialystok,5,Nieprawidlowe wyprzedzanie.
42,Mezczyzna ,Kielce,4,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
43,Kobieta   ,Olsztyn,4,Niedostosowanie predkosci do warunków na drodze.
44,Kobieta   ,Warszawa,2,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
45,Kobieta   ,Kielce,8,Nieudzielenie pierwszenstwa przejazdu.
46,Mezczyzna ,Szczecin,4,Niedostosowanie predkosci do warunków na drodze.
47,Mezczyzna ,Bydgoszcz,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
48,Kobieta   ,Bydgoszcz,6,Nieprawidlowe wyprzedzanie.
49,Kobieta   ,Rzeszów,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
50,Kobieta   ,Bydgoszcz,1,Nieprawidlowe zachowanie sie wobec pieszego.
51,Mezczyzna ,Kielce,10,Niedostosowanie predkosci do warunków na drodze.
52,Mezczyzna ,Torun,1,Jazda po niewlasciwej stronie drogi.
53,Mezczyzna ,Kielce,1,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
54,Mezczyzna ,Rzeszów,11,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
55,Mezczyzna ,Gdansk,3,Jazda po niewlasciwej stronie drogi.
56,Mezczyzna ,Rzeszów,11,Jazda po niewlasciwej stronie drogi.
57,Mezczyzna ,Lublin,7,Jazda po niewlasciwej stronie drogi.
58,Kobieta   ,Lublin,8,Nieudzielenie pierwszenstwa przejazdu.
59,Mezczyzna ,Olsztyn,10,Niedostosowanie predkosci do warunków na drodze.
60,Kobieta   ,Opole,10,Jazda po niewlasciwej stronie drogi.
61,Kobieta   ,Olsztyn,12,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
62,Mezczyzna ,Gdansk,2,Niedostosowanie predkosci do warunków na drodze.
63,Mezczyzna ,Warszawa,11,Nieprawidlowe zachowanie sie wobec pieszego.
64,Kobieta   ,Gorzów Wielkopolski,2,Nieudzielenie pierwszenstwa przejazdu.
65,Mezczyzna ,Gorzów Wielkopolski,5,Nieudzielenie pierwszenstwa przejazdu.
66,Kobieta   ,Katowice,4,Nieprawidlowe zachowanie sie wobec pieszego.
67,Kobieta   ,Olsztyn,5,Niedostosowanie predkosci do warunków na drodze.
68,Mezczyzna ,Torun,4,Nieudzielenie pierwszenstwa przejazdu.
69,Kobieta   ,Rzeszów,3,Nieprawidlowe wyprzedzanie.
70,Mezczyzna ,Lublin,11,Niedostosowanie predkosci do warunków na drodze.
71,Kobieta   ,Olsztyn,5,Jazda po niewlasciwej stronie drogi.
72,Mezczyzna ,Gdansk,8,Niedostosowanie predkosci do warunków na drodze.
73,Mezczyzna ,Wroclaw,4,Nieudzielenie pierwszenstwa przejazdu.
74,Mezczyzna ,Poznan,8,Nieprawidlowe zachowanie sie wobec pieszego.
75,Mezczyzna ,Kielce,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
76,Kobieta   ,Bydgoszcz,5,Nieprawidlowe wyprzedzanie.
77,Kobieta   ,Poznan,8,Nieprawidlowe zachowanie sie wobec pieszego.
78,Kobieta   ,Lódz,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
79,Mezczyzna ,Rzeszów,9,Niedostosowanie predkosci do warunków na drodze.
80,Kobieta   ,Rzeszów,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
81,Mezczyzna ,Szczecin,12,Nieprawidlowe wyprzedzanie.
82,Mezczyzna ,Gdansk,7,Nieudzielenie pierwszenstwa przejazdu.
83,Mezczyzna ,Katowice,4,Nieprawidlowe wyprzedzanie.
84,Kobieta   ,Bialystok,8,Niedostosowanie predkosci do warunków na drodze.
85,Kobieta   ,Warszawa,9,Nieprawidlowe zachowanie sie wobec pieszego.
86,Mezczyzna ,Bydgoszcz,4,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
87,Kobieta   ,Rzeszów,8,Nieprawidlowe zachowanie sie wobec pieszego.
88,Kobieta   ,Lublin,10,Nieprawidlowe zachowanie sie wobec pieszego.
89,Kobieta   ,Bialystok,6,Nieudzielenie pierwszenstwa przejazdu.
90,Kobieta   ,Torun,9,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
91,Mezczyzna ,Katowice,8,Nieprawidlowe zachowanie sie wobec pieszego.
92,Mezczyzna ,Opole,6,Niezachowanie bezpiecznej odleglosci miedzy pojazdami.
